credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,0.1189,829.1,11.35041,19.48,737,5639.958,28854,52.1,0,0,0,0
1,credit_card,0.1071,228.22,11.08214,14.29,707,2760,33623,76.7,0,0,0,0
1,debt_consolidation,0.1357,366.86,10.37349,11.63,682,4710,3511,25.6,1,0,0,0
1,debt_consolidation,0.1008,162.34,11.35041,8.1,712,2699.958,33667,73.2,1,0,0,0
1,credit_card,0.1426,102.92,11.29973,14.97,667,4066,4740,39.5,0,1,0,0
1,credit_card,0.0788,125.13,11.90497,16.98,727,6120.042,50807,51,0,0,0,0
1,debt_consolidation,0.1496,194.02,10.71442,4,667,3180.042,3839,76.8,0,0,1,1
1,all_other,0.1114,131.22,11.0021,11.08,722,5116,24220,68.6,0,0,0,1
1,home_improvement,0.1134,87.19,11.40756,17.25,682,3989,69909,51.1,1,0,0,0
1,debt_consolidation,0.1221,84.12,10.20359,10,707,2730.042,5630,23,1,0,0,0
1,debt_consolidation,0.1347,360.43,10.43412,22.09,677,6713.042,13846,71,2,0,1,0
1,debt_consolidation,0.1324,253.58,11.83501,9.16,662,4298,5122,18.2,2,1,0,0
1,debt_consolidation,0.0859,316.11,10.93311,15.49,767,6519.958,6068,16.7,0,0,0,0
1,small_business,0.0714,92.82,11.51293,6.5,747,4384,3021,4.8,0,1,0,0
1,debt_consolidation,0.0863,209.54,9.487972,9.73,727,1559.958,6282,44.6,0,0,0,0
1,major_purchase,0.1103,327.53,10.73892,13.04,702,8159.958,5394,53.4,1,0,0,0
1,all_other,0.1317,77.69,10.52277,2.26,672,3895.958,2211,88.4,0,0,0,0
1,credit_card,0.0894,476.58,11.60824,7.07,797,6510.958,7586,52.7,1,0,0,0
1,debt_consolidation,0.1039,584.12,10.49127,3.8,712,2760,8311,59.8,0,0,0,0
1,major_purchase,0.1513,173.65,11.0021,2.74,667,1126.958,591,84.4,3,0,0,0
1,all_other,0.08,188.02,11.22524,16.08,772,4888.958,29797,23.2,1,0,0,0
1,all_other,0.0863,474.42,10.81978,2.59,797,11951,5656,27.6,0,0,0,0
1,credit_card,0.1355,339.6,11.51293,7.94,662,1939.958,21162,57.7,0,0,0,0
1,credit_card,0.0788,484.85,11.73607,7.05,782,5640.042,16931,34.6,1,0,0,0
1,debt_consolidation,0.1229,320.19,11.26446,8.8,672,3760.958,4822,58.1,0,0,1,0
1,all_other,0.0901,159.03,12.42922,10,712,1553.958,14354,36.6,0,2,0,0
1,all_other,0.0743,155.38,11.08214,0.28,802,4649.958,1576,5.7,1,0,0,0
1,debt_consolidation,0.1375,255.43,9.998798,14.29,662,1318.958,4175,51.5,0,1,0,0
1,all_other,0.0743,155.38,12.20607,0.28,772,4516.958,3164,13.7,0,0,0,0
1,all_other,0.0743,155.38,12.20607,3.72,812,6778.958,85607,0.7,0,0,0,0
1,debt_consolidation,0.0807,156.84,11.51293,2.3,742,3148.958,9698,19.4,0,0,0,0
1,credit_card,0.1028,275.38,9.798127,6.4,692,7469.958,8847,26.9,1,1,0,0
1,home_improvement,0.0743,155.38,11.91839,0,777,7128.958,6053,19.5,0,0,0,0
1,home_improvement,0.0807,78.42,11.60824,11.33,762,6059.958,7274,13.1,0,0,0,0
1,credit_card,0.087,158.3,11.22524,15.55,757,4770,66033,23,0,0,0,0
1,all_other,0.0743,155.38,11.46163,3.83,772,2535,3660,6.8,0,0,0,0
1,credit_card,0.0743,155.38,11.35041,0.31,787,3540,216,0.6,0,0,0,0
1,credit_card,0.1122,164.23,11.28978,1.21,672,3990,27185,16.1,3,0,1,0
1,debt_consolidation,0.0996,161.25,10.77896,8.03,707,4320,28329,48.6,1,0,0,0
1,home_improvement,0.0933,159.77,12.10071,11.93,717,4498.958,60568,39.2,1,0,0,0
1,home_improvement,0.0807,156.84,12.10071,5.55,742,4019,40934,26.3,0,0,0,0
1,debt_consolidation,0.0743,155.38,11.69525,2.29,777,3540,8379,16.9,0,0,0,0
1,small_business,0.087,94.98,10.12663,14.54,752,2460,3660,7.8,1,0,0,0
1,home_improvement,0.1028,97.2,12.20607,0,677,3779.958,0,0,0,1,0,0
1,credit_card,0.1122,164.23,10.30895,18.64,702,5190,15840,47.1,0,0,0,0
1,credit_card,0.0838,167.02,11.21182,14.37,797,5610.958,6844,14.4,0,0,0,0
1,educational,0.0775,168.6,8.987197,3,762,6659.958,1321,16.5,0,0,0,0
1,all_other,0.0838,160.72,10.37349,14.78,772,4379,4737,23.9,0,0,0,0
1,credit_card,0.0901,159.03,11.19821,9.96,722,3089.958,23489,37.6,0,0,0,0
1,debt_consolidation,0.0743,178.69,11.73607,0.27,792,7488.958,2817,10.2,0,0,0,0
1,credit_card,0.0743,155.38,10.71442,1.12,782,5807,1783,0,1,0,0,0
1,small_business,0.1028,323.98,10.21742,10.7,712,1379,3534,54.4,0,0,0,0
1,small_business,0.1059,813.65,10.77896,4.05,762,2729.958,2422,23.3,0,0,0,0
1,educational,0.0996,112.87,9.510445,16.44,712,1649.958,2864,41.1,1,0,0,0
1,debt_consolidation,0.1596,94.88,10.86284,12.57,627,1409,3075,92.3,1,0,0,0
1,small_business,0.1059,398.69,11.0021,17.12,747,14008.96,17214,8.1,2,1,0,0
1,credit_card,0.1154,39.6,9.903488,2.04,662,1139,1153,75.8,2,0,0,0
1,credit_card,0.1343,678.08,11.88449,10.15,682,4209.958,41674,74.1,0,0,0,1
1,credit_card,0.1249,401.37,11.22524,15,682,4479,43039,93.4,3,0,0,0
1,all_other,0.0964,205.45,11.0021,7.72,712,2293.958,3362,69.3,0,0,0,0
1,debt_consolidation,0.1186,397.75,11.08214,7.14,682,8730,11868,71.9,0,2,0,0
1,all_other,0.0743,155.38,10.59663,2.55,772,8189.958,2562,14,2,0,0,0
1,all_other,0.1028,113.39,9.903488,1.5,682,1410,1882,32.4,0,0,0,0
1,debt_consolidation,0.1186,99.44,10.49552,7.47,667,2550,1064,70.9,2,0,1,0
1,credit_card,0.0807,109.79,11.49272,8.52,752,4979.958,6432,6,0,1,0,0
1,all_other,0.1059,32.55,10.43382,14.47,687,1110,4485,36.9,1,0,0,1
1,all_other,0.0996,112.87,11.26446,11.06,702,4979.958,16310,20.5,0,1,0,0
1,debt_consolidation,0.0964,160.51,11.77529,8.55,712,5940,20969,40.2,0,0,0,0
